"","gene","X","min_2","max_other","target_score","rank","B cell exhausted","B cell naive","B cell non-switched memory","B cell switched memory","CAF","cDC1 CLEC9A","cDC2 CD1C","cDC3 LAMP3","Endothelial","Macrophage M1","Macrophage M2","Macrophage other","Mast","NK","Plasma","T CD4 naive","T CD8 central memory","T CD8 effector","T CD8 effector memory","T CD8 exhausted","Tfh","Th1","Th17","Th2","Treg"
"3","ARPP19","ARPP19","4.16","3.63","0.53","12","3.10","2.21","2.85","3.11","2.90","2.48","0.00","3.53","3.28","3.04","3.07","2.81","3.20","3.27","3.18","3.63","3.26","3.40","3.51","4.16","3.34","3.39","3.04","3.20","4.34"
"4","BTG3","BTG3","4.24","3.79","0.45","18","2.12","1.36","2.40","1.95","3.45","1.77","1.38","2.21","2.18","2.15","1.99","2.04","2.62","2.61","2.97","3.01","3.42","3.45","3.79","4.24","3.73","3.69","3.61","3.60","4.87"
"5","CACYBP","CACYBP","5.17","4.76","0.41","19","3.51","2.94","4.26","3.40","3.02","4.49","2.07","4.02","3.26","3.82","3.39","3.55","3.55","3.70","3.23","4.39","4.43","4.20","4.50","5.17","4.41","4.48","4.53","4.76","5.24"
"6","CBX3","CBX3","4.79","4.5","0.29","28","4.01","4.15","3.90","3.74","3.80","4.28","2.07","2.90","4.09","3.94","3.64","3.59","4.50","3.70","3.43","3.49","4.29","4.05","4.28","4.96","4.40","4.15","4.33","4.14","4.79"
"7","CEP55","CEP55","1.45","0.61","0.84","2","0.25","0.00","0.14","0.09","0.34","0.61","0.00","0.00","0.13","0.10","0.44","0.17","0.09","0.22","0.55","0.00","0.17","0.20","0.42","1.45","0.61","0.34","0.51","0.34","1.55"
"8","CTLA4","CTLA4","4.53","4.35","0.180000000000001","86","0.75","0.63","0.00","0.62","0.59","0.33","0.00","1.39","1.00","0.57","0.36","0.36","0.14","1.24","0.66","2.38","1.92","2.24","3.84","4.53","4.22","3.86","4.17","4.35","5.85"
"9","CXCR3","CXCR3","4.61","4.27","0.340000000000001","24","2.01","0.40","2.38","2.87","0.76","2.83","0.00","0.57","0.69","0.19","0.68","0.38","0.31","2.17","1.94","0.00","4.17","4.03","4.27","4.61","3.40","4.22","2.06","2.48","4.85"
"10","DDHD1","DDHD1","3.04","2.75","0.29","29","2.33","2.28","2.27","2.51","1.58","1.00","0.00","2.02","1.83","1.53","1.75","0.87","1.49","2.62","1.62","1.55","2.19","2.65","2.60","3.04","2.75","2.23","2.67","2.71","3.37"
"11","DNPH1","DNPH1","4.34","3.74","0.6","7","3.03","3.12","3.41","3.30","3.46","2.71","1.38","2.66","2.01","3.50","3.20","3.42","2.08","1.69","3.73","1.98","3.27","3.52","3.74","4.34","3.39","3.50","3.34","3.47","5.39"
"12","GALM","GALM","4.49","4.1","0.390000000000001","21","1.63","1.81","1.89","0.84","1.79","1.80","0.00","1.35","1.30","2.94","2.81","2.38","0.82","2.68","2.04","2.50","3.84","3.21","4.10","4.51","3.60","3.96","3.75","3.20","4.49"
"13","GCNT1","GCNT1","2.54","1.82","0.72","3","0.66","1.66","0.30","0.19","1.10","0.91","0.00","0.60","0.55","1.53","1.10","0.85","0.84","0.74","0.13","0.00","1.14","1.82","1.82","2.54","0.61","0.91","0.66","1.16","3.02"
"14","HERC5","HERC5","4.39","3.8","0.59","9","1.92","1.37","1.71","2.15","0.54","0.99","0.00","2.79","1.66","3.80","2.10","1.43","0.28","1.46","1.82","0.00","2.48","1.49","2.24","4.44","2.68","3.08","2.58","2.66","4.39"
"15","HERC6","HERC6","2.71","2.04","0.67","5","1.32","0.79","1.45","1.37","0.89","0.00","0.00","0.62","1.03","1.22","0.89","0.51","0.49","0.59","0.40","0.00","1.72","1.75","1.70","2.81","1.60","2.04","1.80","1.59","2.71"
"16","HPRT1","HPRT1","3.65","3.33","0.32","25","2.35","1.83","2.37","2.32","2.71","2.57","2.07","3.33","2.96","3.24","2.81","3.13","3.32","2.53","1.51","2.98","2.70","2.87","3.24","3.65","2.79","3.04","3.02","2.85","3.92"
"17","INPP5F","INPP5F","2.09","1.81","0.28","32","1.50","1.81","1.37","1.38","0.92","0.73","0.00","0.75","0.94","0.84","0.95","0.93","0.61","0.54","0.10","0.00","0.70","1.42","1.13","2.40","0.78","0.64","0.75","0.79","2.09"
"18","LAYN","LAYN","3.48","2.98","0.5","15","0.38","0.00","0.13","0.08","1.99","0.00","0.00","1.82","2.58","0.05","0.19","0.05","0.00","0.33","0.27","0.00","1.40","2.98","2.66","3.48","1.35","0.71","0.99","1.16","3.97"
"19","NAB1","NAB1","2.45","1.97","0.48","17","0.40","0.00","0.37","0.67","1.64","0.66","0.00","1.13","1.40","1.01","0.91","0.47","1.04","0.83","1.36","0.00","1.73","1.94","1.72","2.84","1.97","1.62","1.86","1.29","2.45"
"20","NBR1","NBR1","2.82","2.53","0.29","30","1.68","0.86","0.99","1.23","2.63","1.54","0.00","1.32","2.50","1.86","1.92","1.56","1.56","2.43","1.96","2.35","2.09","2.53","2.41","2.82","2.31","2.47","2.51","2.35","2.83"
"21","OPA1","OPA1","2.02","1.75","0.27","33","1.65","1.17","1.52","1.57","1.31","1.20","0.00","1.35","1.61","1.66","1.19","0.87","1.29","1.68","1.44","0.00","1.53","1.37","1.65","2.02","1.34","1.25","1.39","1.75","2.02"
"22","OPTN","OPTN","4.02","3.73","0.29","31","2.28","0.96","2.07","1.89","3.45","0.33","2.07","2.33","3.54","2.80","2.17","1.76","1.40","3.66","2.52","1.57","3.71","3.70","3.69","4.09","3.23","3.73","3.49","3.57","4.02"
"23","PDCD1","PDCD1","2.58","4.83","-2.25","14689","1.52","0.15","0.74","0.61","0.23","1.24","0.00","0.40","0.49","0.53","0.67","0.10","0.18","0.98","1.34","0.00","3.62","3.84","4.83","5.01","3.65","3.91","3.13","2.99","2.58"
"24","PHF11","PHF11","3.74","3.43","0.31","27","2.75","3.07","2.48","2.63","2.61","2.53","0.00","1.60","2.48","3.42","2.63","2.25","1.97","2.69","1.59","2.87","3.34","2.99","3.35","4.14","3.23","3.29","3.19","3.43","3.74"
"25","PHLDA1","PHLDA1","4.61","3.94","0.67","4","1.21","0.91","0.68","0.70","4.30","0.58","0.00","1.35","3.41","1.66","3.00","2.69","1.51","2.14","1.98","1.55","2.91","3.89","3.94","4.98","2.16","3.74","3.80","3.83","4.61"
"26","PPM1G","PPM1G","4.45","3.86","0.59","8","3.29","2.97","3.18","3.14","3.12","3.26","0.00","3.73","3.86","2.94","2.34","2.66","3.05","3.82","2.74","2.62","3.64","3.52","3.79","4.45","3.86","3.48","3.54","3.54","4.58"
"27","PRKAR1B","PRKAR1B","2.36","1.97","0.39","22","0.76","0.31","0.49","0.31","0.92","0.00","0.00","0.00","1.61","0.91","0.74","0.79","1.08","0.28","0.74","0.95","1.34","1.87","1.97","2.36","1.10","1.11","1.03","1.16","2.45"
"28","PTTG1","PTTG1","4.62","4.07","0.55","11","2.42","1.65","1.92","2.16","2.12","2.25","0.00","3.12","1.45","1.70","2.08","1.24","1.74","2.23","3.04","1.60","3.51","3.75","4.07","5.09","3.17","3.32","3.30","3.19","4.62"
"29","SAMD9","SAMD9","4.58","3.96","0.62","6","3.04","1.79","2.94","3.15","1.91","1.98","0.00","0.70","2.83","3.63","2.33","1.42","2.53","3.64","1.40","2.46","3.64","3.40","3.77","5.07","3.91","3.90","3.60","3.96","4.58"
"30","SGMS1","SGMS1","2.31","2","0.31","26","0.77","1.22","0.78","0.51","1.38","0.40","0.00","1.10","1.59","1.43","1.24","1.03","0.61","0.71","0.62","0.00","1.69","2.00","1.87","2.61","1.13","1.14","1.27","1.11","2.31"
"31","SH2D2A","SH2D2A","4.7","4.2","0.5","14","1.20","0.36","0.54","0.82","0.70","0.00","0.00","0.12","0.78","0.40","0.65","0.32","1.59","4.18","1.24","0.00","3.56","3.94","4.20","4.75","3.11","3.87","3.26","2.93","4.70"
"32","TIGIT","TIGIT","6.13","5.57","0.56","10","1.47","0.76","1.05","1.15","0.95","0.43","0.00","0.12","1.05","0.23","1.16","0.61","0.97","3.33","1.44","3.84","4.80","5.28","5.44","6.13","5.57","4.14","4.88","5.39","6.69"
"33","TMEM140","TMEM140","2.93","2.44","0.49","16","1.68","1.85","1.89","2.11","1.69","0.27","0.00","1.96","2.03","1.82","2.03","1.29","1.08","1.63","2.12","1.85","2.35","1.83","2.33","2.93","1.69","2.06","2.32","2.44","2.95"
"34","TNFRSF9","TNFRSF9","4.22","3.16","1.06","1","0.12","0.00","0.00","0.00","0.36","0.00","0.00","2.81","0.59","0.40","0.54","0.11","1.37","0.41","0.17","0.00","1.06","2.27","3.16","4.22","0.98","0.70","0.62","0.42","4.35"
"35","TRPC4AP","TRPC4AP","2.56","2.2","0.36","23","1.57","1.80","1.76","2.06","1.87","1.11","0.00","1.17","2.07","1.87","1.39","1.08","1.49","1.98","1.86","1.35","1.96","2.01","2.10","2.59","1.85","2.20","1.98","1.82","2.56"
"36","TSPAN5","TSPAN5","3.39","2.98","0.41","20","0.97","1.61","1.70","0.92","2.06","0.00","0.00","0.12","1.82","0.03","0.31","0.18","0.37","1.92","1.41","0.00","2.64","2.78","2.98","3.66","2.86","2.49","2.69","2.62","3.39"
"37","YOD1","YOD1","1.07","0.57","0.5","13","0.42","0.00","0.09","0.53","0.30","0.20","0.00","0.43","0.41","0.34","0.30","0.21","0.21","0.12","0.57","0.00","0.51","0.55","0.47","1.07","0.15","0.39","0.32","0.22","1.11"
"38","ZFP57","ZFP57","1.31","1.04","0.27","34","0.75","0.28","0.33","0.08","0.04","0.61","0.00","0.00","0.13","0.64","0.48","0.39","0.92","0.31","0.42","0.00","0.80","0.71","1.04","1.40","0.77","1.02","0.75","0.61","1.31"
