"","gene","X","min_2","max_other","target_score","rank","B cell exhausted","B cell naive","B cell non-switched memory","B cell switched memory","Macrophage M1","Macrophage M2","Macrophage other","Mast","Neutrophil","NK","T CD4 naive","T CD8 central memory","T CD8 effector","T CD8 effector memory","T CD8 exhausted","T CD8 naive","Tfh","Th1","Th17","Th2","Treg"
"3","ABCC10","ABCC10","2.74","2.27","0.47","3","0.00","0.75","0.86","1.35","2.15","1.85","1.94","1.52","2.11","0.87","1.93","1.96","1.73","1.97","2.74","2.22","1.36","2.27","1.75","0.58","3.41"
"4","CD27","CD27","5.55","5.27","0.28","13","1.89","1.21","4.90","4.84","2.13","0.37","1.88","1.86","1.05","3.12","4.51","5.23","4.38","5.27","5.55","4.62","5.09","4.74","4.36","5.07","5.59"
"5","CDCA5","CDCA5","0.78","0.53","0.25","19","0.00","0.00","0.00","0.30","0.00","0.32","0.53","0.00","0.13","0.00","0.00","0.00","0.52","0.00","0.78","0.14","0.29","0.00","0.00","0.00","0.97"
"6","CDKN2B","CDKN2B","0.91","0.69","0.22","25","0.00","0.00","0.00","0.00","0.07","0.27","0.52","0.18","0.00","0.65","0.00","0.55","0.57","0.21","0.91","0.00","0.00","0.14","0.69","0.00","1.23"
"7","CENPF","CENPF","1.97","1.73","0.24","21","0.00","0.46","0.00","0.00","0.62","0.27","1.51","0.19","0.30","0.00","0.35","1.37","0.62","1.67","2.20","0.41","0.45","1.73","0.74","0.00","1.97"
"8","CTLA4","CTLA4","3.89","4.8","-0.91","5307","0.65","0.58","1.59","1.62","1.83","0.59","1.06","1.13","1.11","0.86","3.29","4.18","1.75","4.69","3.89","2.92","4.70","4.05","4.80","4.76","6.28"
"9","DEPDC1B","DEPDC1B","0.51","0.24","0.27","15","0.00","0.00","0.00","0.00","0.00","0.08","0.24","0.16","0.00","0.00","0.10","0.13","0.00","0.00","0.51","0.03","0.00","0.00","0.00","0.00","0.54"
"10","DNAJC6","DNAJC6","0.76","0.52","0.24","22","0.00","0.00","0.00","0.00","0.00","0.06","0.30","0.00","0.00","0.00","0.10","0.52","0.25","0.36","0.90","0.26","0.00","0.24","0.00","0.00","0.76"
"11","FAM219A","FAM219A","1.75","1.42","0.33","6","0.76","0.85","0.65","0.98","0.95","1.42","1.29","1.32","1.19","1.19","0.86","1.27","0.56","0.85","1.75","1.36","0.47","1.42","1.17","0.00","2.01"
"12","FAM83D","FAM83D","0.92","0.62","0.3","10","0.62","0.00","0.00","0.00","0.00","0.00","0.45","0.04","0.00","0.46","0.25","0.21","0.00","0.23","1.04","0.21","0.00","0.00","0.00","0.00","0.92"
"13","FANCI","FANCI","1.42","1.16","0.26","17","0.00","0.00","0.00","0.93","0.70","0.24","0.58","0.98","0.00","0.57","0.57","0.88","0.33","1.16","1.42","0.56","0.79","0.10","0.00","0.00","2.03"
"14","GBP7","GBP7","0.31","0.12","0.19","27","0.00","0.00","0.00","0.00","0.00","0.00","0.01","0.12","0.00","0.00","0.07","0.00","0.00","0.00","0.31","0.05","0.00","0.00","0.00","0.00","0.58"
"15","GPR132","GPR132","3.09","2.83","0.26","18","0.00","2.24","1.49","1.95","1.68","0.98","1.58","1.45","1.47","2.25","2.38","2.58","2.32","2.83","3.09","2.32","2.45","2.78","2.67","2.55","3.35"
"16","HLA.A","HLA.A","9.73","9.44","0.290000000000001","11","8.57","8.30","8.57","8.74","8.52","9.08","9.10","7.58","9.40","9.19","8.89","9.25","9.22","9.41","9.73","9.08","9.23","9.36","9.28","9.44","9.75"
"17","HMGB2","HMGB2","5.36","5.09","0.27","14","3.65","3.98","3.93","4.37","3.42","2.04","3.70","4.23","5.08","5.06","4.70","4.67","4.66","5.06","5.36","4.77","4.79","5.08","4.78","5.09","5.83"
"18","IL32","IL32","7.98","7.74","0.24","20","3.72","2.78","3.33","3.79","5.10","2.04","3.64","3.99","4.17","6.25","6.99","7.68","7.45","7.67","7.98","7.29","7.46","7.57","7.58","7.74","8.34"
"19","INTS7","INTS7","1.61","1.34","0.27","16","0.00","1.34","0.24","0.88","0.72","0.80","1.10","0.82","0.09","1.31","0.95","0.83","0.94","0.80","1.61","1.21","0.34","1.22","1.05","1.19","1.86"
"20","KIF4A","KIF4A","0.72","0.49","0.23","23","0.00","0.00","0.00","0.00","0.28","0.08","0.49","0.04","0.00","0.00","0.00","0.15","0.00","0.00","0.72","0.11","0.00","0.00","0.00","0.00","1.00"
"21","KLHL7","KLHL7","2.24","1.95","0.29","12","0.00","1.08","1.59","0.58","1.64","1.49","1.08","1.95","0.16","1.35","1.61","1.34","1.48","1.90","2.32","1.44","1.80","1.44","1.82","0.00","2.24"
"22","LRBA","LRBA","3.64","3.17","0.47","4","1.83","3.01","2.55","2.24","1.92","1.23","1.65","3.09","0.82","2.99","2.96","2.34","2.84","3.03","3.64","2.88","3.17","2.72","2.97","2.72","3.81"
"23","PDCD1","PDCD1","3.07","3.65","-0.58","2793","1.69","0.00","0.25","0.50","0.95","1.32","0.91","0.77","0.79","1.32","2.44","3.01","2.01","3.60","4.53","3.20","3.65","3.43","1.98","2.96","3.07"
"24","POLA1","POLA1","1.24","0.92","0.32","8","0.00","0.00","0.00","0.37","0.71","0.42","0.88","0.51","0.00","0.41","0.83","0.92","0.67","0.46","1.24","0.72","0.82","0.79","0.00","0.62","1.46"
"25","PTTG1","PTTG1","3.01","2.37","0.64","1","0.00","0.00","1.58","0.12","1.83","0.59","1.97","0.96","0.09","1.76","0.73","1.59","2.37","2.23","3.01","1.03","1.42","1.57","1.53","1.05","3.33"
"26","SP4","SP4","3.03","2.83","0.2","26","0.00","1.65","2.43","2.14","1.27","0.99","0.99","2.17","1.27","2.83","2.36","2.66","1.80","2.49","3.06","2.40","1.62","2.38","2.66","1.92","3.03"
"27","TAP1","TAP1","5.52","5.21","0.31","9","4.35","4.31","4.72","4.59","4.25","3.76","4.03","3.37","5.01","4.99","4.08","5.20","5.07","5.21","5.52","4.22","4.87","4.78","4.85","4.72","5.79"
"28","TMEM17","TMEM17","0.66","0.33","0.33","7","0.00","0.00","0.00","0.00","0.18","0.05","0.12","0.00","0.00","0.00","0.00","0.00","0.33","0.00","0.66","0.06","0.00","0.00","0.00","0.00","0.80"
"29","TOX","TOX","3.78","3.55","0.23","24","2.83","0.06","0.00","2.39","1.46","0.09","1.13","3.03","0.00","3.52","2.38","3.31","3.24","3.55","4.10","2.88","2.94","2.68","2.56","2.49","3.78"
"30","TPX2","TPX2","1.6","1.19","0.41","5","0.00","0.00","0.00","0.00","0.72","0.15","1.19","0.36","0.99","0.75","0.07","0.15","0.24","0.53","1.60","0.04","0.00","0.56","0.50","0.00","2.19"
"31","TSPAN5","TSPAN5","2.72","2.22","0.5","2","0.00","1.12","0.84","1.41","0.30","0.03","0.52","1.86","0.14","1.20","1.74","2.06","1.98","2.17","2.72","2.22","1.61","2.03","2.02","1.69","2.90"
